P ID,Group,WF,Task,Condition,Repetition,Correct Answer,ParticipantAnswer,Time
P18,G2,WF1,T1,Text,R3,Above,Above,3.01
P18,G2,WF2,T1,visualization,R1,Below,Below,1.47
P18,G2,WF2,T2,Text,R1, No, No,5.05
P18,G2,WF2,T3,Visualization,R1,A little,A little,1.15
P18,G2,WF2,T4,Visualization,R1,No,No,1.11
P18,G2,WF2,T5,Text,R1,A lot,A lot,5.35
P18,G2,WF2,T1,Visualization,R2,Above,Above,0.71
P18,G2,WF2,T2 ,Text,R2,Yes,Yes,2.42
P18,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.56
P18,G2,WF2,T3,Visualization,R2,A lot,A lot,1.21
P18,G2,WF2,T2,Text,R3,No,No,2.41
P18,G2,WF2,T4,Visualization,R3,Yes,Yes,1.2
P18,G2,WF2,T5,Text,R2,A little,A little,5.79
P18,G2,WF2,T1,Visualization,R3,Above,Above,0.71
P19,G2,WF1,T1,Text,R1,Below,Below,1.48
P19,G2,WF1,T2,Visualization,R1, No, No,4.45
P19,G2,WF1,T3,Text,R1,A little,A little,4.45
P19,G2,WF1,T4,Text,R1,No,No,6.43
P19,G2,WF1,T5,Visualization,R1,A lot,A lot,1.13
P19,G2,WF1,T1,Text,R2,Above,Above,2.11
P19,G2,WF1,T2 ,Visualization,R2,Yes,Yes,1.03
P19,G2,WF1,T4,Text,R2,Beginning,Beginning,2.01
P19,G2,WF1,T3,Text,R2,A lot,A lot,3.06
P19,G2,WF1,T2,Visualization,R3,No,No,1.06
P19,G2,WF1,T4,Text,R3,Yes,Yes,6.22
P19,G2,WF1,T5,Visualization,R2,A little,A little,0.84
P19,G2,WF1,T1,Text,R3,Above,Above,1.96
P19,G2,WF2,T1,visualization,R1,Below,Below,1.31
P19,G2,WF2,T2,Text,R1, No, No,4.45
P19,G2,WF2,T3,Visualization,R1,A little,A little,1.45
P19,G2,WF2,T4,Visualization,R1,No,No,1.53
P19,G2,WF2,T5,Text,R1,A lot,A lot,8.17
P19,G2,WF2,T1,Visualization,R2,Above,Above,0.65
P19,G2,WF2,T2 ,Text,R2,Yes,Yes,3.12
P19,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.02
P19,G2,WF2,T3,Visualization,R2,A lot,A lot,1.16
P19,G2,WF2,T2,Text,R3,No,No,2.36
P19,G2,WF2,T4,Visualization,R3,Yes,Yes,1.14
P19,G2,WF2,T5,Text,R2,A little,A little,5.84
P19,G2,WF2,T1,Visualization,R3,Above,Above,0.66
P20,G2,WF1,T1,Text,R1,Below,Below,2.44
P20,G2,WF1,T2,Visualization,R1, No, No,3.1
P20,G2,WF1,T3,Text,R1,A little,A little,5.05
P20,G2,WF1,T4,Text,R1,No,No,5.58
P20,G2,WF1,T5,Visualization,R1,A lot,A lot,0.38
P20,G2,WF1,T1,Text,R2,Above,Above,1.27
P20,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.83
P20,G2,WF1,T4,Text,R2,Beginning,Beginning,2
P20,G2,WF1,T3,Text,R2,A lot,A lot,3.13
P20,G2,WF1,T2,Visualization,R3,No,No,1.12
P20,G2,WF1,T4,Text,R3,Yes,Yes,4.56
P20,G2,WF1,T5,Visualization,R2,A little,A little,0.96
P20,G2,WF1,T1,Text,R3,Above,Above,2.03
P20,G2,WF2,T1,visualization,R1,Below,Below,1.34
P20,G2,WF2,T2,Text,R1, No, No,5
P20,G2,WF2,T3,Visualization,R1,A little,A little,1
P20,G2,WF2,T4,Visualization,R1,No,No,0.58
P20,G2,WF2,T5,Text,R1,A lot,A lot,6.32
P20,G2,WF2,T1,Visualization,R2,Above,Above,0.74
P20,G2,WF2,T2 ,Text,R2,Yes,Yes,1.37
P20,G2,WF2,T4,Visualization,R2,Beginning,Beginning,1.17
P20,G2,WF2,T3,Visualization,R2,A lot,A lot,1.26
P20,G2,WF2,T2,Text,R3,No,No,2.48
P20,G2,WF2,T4,Visualization,R3,Yes,Yes,1.28
P20,G2,WF2,T5,Text,R2,A little,A little,4.96
P20,G2,WF2,T1,Visualization,R3,Above,Above,0.73
